Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Muktar Ali (BDESH),2016-2016,1,1,1,19,19*,-,15,126.66,0,0,0,1,1
SN Netravalkar (USA),2019-2019,8,2,1,19,12,19.00,15,126.66,0,0,0,1,1
HM Nicholls (NZ),2016-2019,5,4,0,19,7,4.75,28,67.85,0,0,0,2,0
AE Paraam (SGP),2019-2019,3,2,1,19,10,19.00,10,190.0,0,0,0,2,1
AM Phangiso (SA),2012-2018,16,3,0,19,13,6.33,29,65.51,0,0,0,1,0
RLB Rambukwella (SL),2013-2016,2,1,0,19,19,19.00,16,118.75,0,0,0,1,1
SV Samson (INDIA),2015-2015,1,1,0,19,19,19.00,24,79.16,0,0,0,1,0
L Shafeeg (Mald),2019-2019,3,1,1,19,19*,-,11,172.72,0,0,0,2,1
Sufyan Mehmood (OMAN),2015-2019,3,2,1,19,13*,19.00,41,46.34,0,0,0,2,0
KOK Williams (WI),2016-2019,24,7,4,19,13*,6.33,17,111.76,0,0,1,1,1
N Yordanov (),2019-2019,2,2,1,19,19*,19.00,11,172.72,0,0,1,0,2
JD Baker (Samoa),2019-2019,4,3,3,18,11*,-,14,128.57,0,0,0,3,0
V Baskaran (SGP),2019-2019,12,5,3,18,14*,9.00,23,78.26,0,0,1,0,0
Bilal Khan (OMAN),2015-2019,32,10,7,18,6*,6.00,28,64.28,0,0,2,1,0
LA Collado (GIBR),2019-2019,4,3,2,18,8,18.00,34,52.94,0,0,0,0,0
LHD Dilhara (SL),2008-2008,2,1,1,18,18*,-,9,200.0,0,0,0,0,1
XJ Doherty (AUS),2012-2013,11,4,3,18,9*,18.00,17,105.88,0,0,0,1,0
BE Hendricks (SA),2014-2019,11,3,1,18,12*,9.00,21,85.71,0,0,0,0,1
Khurram Chohan (CAN),2010-2010,4,4,2,18,8,9.00,14,128.57,0,0,0,1,1
JB Little (IRE),2016-2019,11,6,2,18,7,4.50,16,112.5,0,0,2,3,0
AK Markram (SA),2019-2019,2,2,0,18,15,9.00,17,105.88,0,0,0,1,1
SW Masakadza (ZIM),2010-2013,7,5,1,18,9,4.50,24,75.0,0,0,1,1,0
Nauman Anwar (PAK),2015-2015,1,1,0,18,18,18.00,10,180.0,0,0,0,2,1
Naved-ul-Hasan (PAK),2006-2010,4,2,1,18,17*,18.00,16,112.5,0,0,0,0,2
Nazmul Islam (BDESH),2018-2018,13,4,3,18,7,18.00,17,105.88,0,0,0,2,0
D Nikolov (),2019-2019,3,2,0,18,13,9.00,33,54.54,0,0,0,2,0
Raza Hasan (PAK),2012-2014,10,4,4,18,13*,-,25,72.0,0,0,0,2,0
